STOCK_NAME,STOCK_DATE,AMT
Сбербанк,10.06.2006,  11.334466
Сбербанк,11.06.2006,  11.333410
Сбербанк,12.06.2006,  11.332353
Сбербанк,13.06.2006,  10.487672
Сбербанк,14.06.2006,  10.747649
Сбербанк,15.06.2006,  11.175248
Сбербанк,16.06.2006,  10.806793
Сбербанк,17.06.2006,  10.805786
Сбербанк,18.06.2006,  10.804779
Сбербанк,19.06.2006,  11.119174
Сбербанк,20.06.2006,  11.698028
Сбербанк,21.06.2006,  11.544145
Сбербанк,22.06.2006,  11.248039
Сбербанк,23.06.2006,  11.505118
Сбербанк,24.06.2006,  11.504046
Сбербанк,25.06.2006,  11.502974
Сбербанк,26.06.2006,  11.402629
Сбербанк,27.06.2006,  11.741628
Сбербанк,28.06.2006,  11.978914
Сбербанк,29.06.2006,  11.819849
Сбербанк,30.06.2006,  12.095132
Сбербанк,01.07.2006,  12.094005
Сбербанк,02.07.2006,  12.091400
Сбербанк,03.07.2006,  12.101953
Сбербанк,04.07.2006,  12.875280
Сбербанк,05.07.2006,  12.253995
Сбербанк,06.07.2006,  12.622067
Сбербанк,07.07.2006,  13.366132
Сбербанк,08.07.2006,  13.363253
Сбербанк,09.07.2006,  13.360375
Сбербанк,10.07.2006,  13.686122
Сбербанк,11.07.2006,  13.341751
Сбербанк,12.07.2006,  13.089435
Сбербанк,13.07.2006,  12.390931
Сбербанк,14.07.2006,  12.283279
Сбербанк,15.07.2006,  12.280634
Сбербанк,16.07.2006,  12.277988
Сбербанк,17.07.2006,  11.868445
Сбербанк,18.07.2006,  11.824272
Сбербанк,19.07.2006,  12.204512
Сбербанк,20.07.2006,  12.162564
Сбербанк,21.07.2006,  12.159945
Сбербанк,22.07.2006,  12.157326
Сбербанк,23.07.2006,  12.154707
Сбербанк,24.07.2006,  12.152089
Сбербанк,25.07.2006,  12.149472
Сбербанк,26.07.2006,  12.146855
Сбербанк,27.07.2006,  12.144239
Сбербанк,28.07.2006,  12.141623
Сбербанк,29.07.2006,  12.139008
Сбербанк,30.07.2006,  12.136393
Сбербанк,31.07.2006,  12.133779
Сбербанк,01.08.2006,  12.131166
Сбербанк,02.08.2006,  12.130423
Сбербанк,03.08.2006,  12.129680
Сбербанк,04.08.2006,  13.449005
Сбербанк,05.08.2006,  13.448182
Сбербанк,06.08.2006,  13.447358
Сбербанк,07.08.2006,  13.329193
Сбербанк,08.08.2006,  13.277150
Сбербанк,09.08.2006,  13.536350
Сбербанк,10.08.2006,  13.595077
Сбербанк,11.08.2006,  13.835173
Сбербанк,12.08.2006,  13.834326
Сбербанк,13.08.2006,  13.833479
Сбербанк,14.08.2006,  14.002437
Сбербанк,15.08.2006,  14.027702
Сбербанк,16.08.2006,  14.367458
Сбербанк,17.08.2006,  14.462174
Сбербанк,18.08.2006,  13.764211
Сбербанк,19.08.2006,  13.763369
Сбербанк,20.08.2006,  13.762526
Сбербанк,21.08.2006,  14.043962
Сбербанк,22.08.2006,  14.387247
Сбербанк,23.08.2006,  14.321095
Сбербанк,24.08.2006,  14.200119
Сбербанк,25.08.2006,  14.444884
Сбербанк,26.08.2006,  14.444000
Сбербанк,27.08.2006,  14.443115
Сбербанк,28.08.2006,  14.327220
Сбербанк,29.08.2006,  15.063074
Сбербанк,30.08.2006,  15.181421
Сбербанк,31.08.2006,  14.925722
Сбербанк,01.09.2006,  14.691582
Сбербанк,02.09.2006,  14.691142
Сбербанк,03.09.2006,  14.690701
Сбербанк,04.09.2006,  15.238210
Сбербанк,05.09.2006,  15.631743
Сбербанк,06.09.2006,  15.486207
Сбербанк,07.09.2006,  15.029420
Сбербанк,08.09.2006,  14.740939
Сбербанк,09.09.2006,  14.740497
Сбербанк,10.09.2006,  14.740055
Сбербанк,11.09.2006,  14.061089
Сбербанк,12.09.2006,  14.268830
Сбербанк,13.09.2006,  14.203710
Сбербанк,14.09.2006,  14.333709
Сбербанк,15.09.2006,  14.213292
Сбербанк,16.09.2006,  14.212865
Сбербанк,17.09.2006,  14.212439
Сбербанк,18.09.2006,  14.345012
Сбербанк,19.09.2006,  14.566551
Сбербанк,20.09.2006,  14.409374
Сбербанк,21.09.2006,  14.526297
Сбербанк,22.09.2006,  14.186838
Сбербанк,23.09.2006,  14.186412
Сбербанк,24.09.2006,  14.185987
Сбербанк,25.09.2006,  13.927405
Сбербанк,26.09.2006,  14.432854
Сбербанк,27.09.2006,  14.810520
Сбербанк,28.09.2006,  15.226987
Сбербанк,29.09.2006,  15.122503
Сбербанк,30.09.2006,  15.122050
Сбербанк,01.10.2006,  15.121596
Сбербанк,02.10.2006,  15.195568
Сбербанк,03.10.2006,  14.727858
Сбербанк,04.10.2006,  14.989783
Сбербанк,05.10.2006,  15.587864
Сбербанк,06.10.2006,  15.432704
Сбербанк,07.10.2006,  15.431312
Сбербанк,08.10.2006,  15.429921
Сбербанк,09.10.2006,  15.797178
Сбербанк,10.10.2006,  16.084286
Сбербанк,11.10.2006,  16.044391
Сбербанк,12.10.2006,  16.083297
Сбербанк,13.10.2006,  16.131350
Сбербанк,14.10.2006,  16.129895
Сбербанк,15.10.2006,  16.128440
Сбербанк,16.10.2006,  15.856203
Сбербанк,17.10.2006,  15.438228
Сбербанк,18.10.2006,  15.694550
Сбербанк,19.10.2006,  15.877940
Сбербанк,20.10.2006,  15.928565
Сбербанк,21.10.2006,  15.927128
Сбербанк,22.10.2006,  15.925692
Сбербанк,23.10.2006,  16.132413
Сбербанк,24.10.2006,  15.611127
Сбербанк,25.10.2006,  15.861548
Сбербанк,26.10.2006,  15.919687
Сбербанк,27.10.2006,  15.762447
Сбербанк,28.10.2006,  15.761026
Сбербанк,29.10.2006,  15.759604
Сбербанк,30.10.2006,  15.342125
Сбербанк,31.10.2006,  15.641056
Сбербанк,01.11.2006,  15.890795
Сбербанк,02.11.2006,  15.759581
Сбербанк,03.11.2006,  15.852692
Сбербанк,04.11.2006,  15.849374
Сбербанк,05.11.2006,  15.846056
Сбербанк,06.11.2006,  15.842740
Сбербанк,07.11.2006,  16.189973
Сбербанк,08.11.2006,  16.225526
Сбербанк,09.11.2006,  16.572787
Сбербанк,10.11.2006,  16.568799
Сбербанк,11.11.2006,  16.565331
Сбербанк,12.11.2006,  16.561863
Сбербанк,13.11.2006,  16.605336
Сбербанк,14.11.2006,  16.411029
Сбербанк,15.11.2006,  16.590868
Сбербанк,16.11.2006,  17.009071
Сбербанк,17.11.2006,  17.101903
Сбербанк,18.11.2006,  17.098324
Сбербанк,19.11.2006,  17.094745
Сбербанк,20.11.2006,  16.767470
Сбербанк,21.11.2006,  16.881761
Сбербанк,22.11.2006,  16.980473
Сбербанк,23.11.2006,  17.031265
Сбербанк,24.11.2006,  17.014823
Сбербанк,25.11.2006,  17.011261
Сбербанк,26.11.2006,  17.007700
Сбербанк,27.11.2006,  16.923948
